Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
LeBron James,2544,CLE,75,2250,592,539,138,81,113,255,7,2,31,7,2549.5,33.99
Chris Paul,101108,NOH,80,1684,321,925,217,4,92,201,3,0,56,1,2436.0,30.45
Dwight Howard,2730,ORL,82,1695,1161,110,74,176,0,263,0,0,69,0,2424.5,29.57
Marcus Camby,948,DEN,79,721,1037,259,85,285,6,118,0,0,30,2,2315.5,29.31
Kobe Bryant,977,LAL,82,2323,517,441,151,40,150,257,7,2,20,0,2348.5,28.64
Tim Duncan,1495,SAS,78,1508,881,218,56,152,0,178,0,0,53,0,2144.0,27.49
Baron Davis,1884,GSW,82,1791,385,623,191,43,173,232,1,0,18,3,2251.0,27.45
Amar'e Stoudemire,2405,PHX,79,1989,719,118,64,163,5,174,2,0,36,0,2152.0,27.24
Chris Kaman,2549,LAC,56,878,711,107,33,155,0,164,0,0,36,0,1505.0,26.88
Shawn Marion,1890,MIA,63,972,643,138,125,85,66,86,0,0,32,0,1666.0,26.44
Al Jefferson,2744,MIN,82,1726,911,117,74,119,0,167,2,0,55,0,2167.0,26.43
Yao Ming,2397,HOU,55,1209,594,129,25,111,0,183,0,0,33,0,1449.5,26.35
Josh Smith,2746,ATL,81,1394,667,272,123,227,25,245,0,0,19,1,2124.5,26.23
Kevin Garnett,708,BOS,71,1337,655,244,100,89,0,138,0,0,29,0,1836.5,25.87
Antawn Jamison,1712,WAS,79,1689,806,120,106,34,120,113,1,0,44,0,2042.5,25.85
Dirk Nowitzki,1717,DAL,77,1817,659,266,51,71,79,160,0,0,25,1,1984.0,25.77
Carlos Boozer,2430,UTA,81,1708,844,233,100,41,0,210,1,0,51,1,2057.0,25.4
Allen Iverson,947,DEN,82,2164,243,586,160,12,95,245,1,1,15,0,2074.5,25.3
Jason Kidd,467,DAL,80,864,600,806,136,26,119,266,0,0,35,13,2016.5,25.21
Caron Butler,2406,WAS,58,1180,388,284,128,20,66,150,1,0,9,3,1457.0,25.12
Carmelo Anthony,2546,DEN,77,1978,571,259,98,39,58,253,2,0,22,0,1893.0,24.58
Chris Bosh,2547,TOR,67,1496,583,171,63,67,10,153,4,0,28,0,1646.0,24.57
Dwyane Wade,2548,MIA,51,1254,214,354,87,37,22,224,3,0,9,0,1242.0,24.35
David West,2561,NOH,76,1564,675,177,62,99,6,165,1,0,29,0,1824.0,24.0
Lamar Odom,1885,LAL,77,1094,819,273,75,72,31,156,0,0,44,1,1838.5,23.88
Metta World Peace,1897,SAC,57,1168,328,199,133,38,84,148,0,0,6,0,1353.0,23.74
Andre Iguodala,2738,PHI,82,1630,446,391,171,49,101,214,0,0,8,0,1936.5,23.62
Pau Gasol,2200,LAL,66,1246,553,211,30,98,4,124,1,0,26,0,1548.0,23.45
